"LastContentModifiedDate","Status","ResourceUsageCurrent","ResourceUsageAverage","StorageUsageCurrent","LockIssue","WebsCount","CompatibilityLevel","DisableSharingForNonOwnersStatus","HubSiteId","IsHubSite","RelatedGroupId","GroupId","Url","LocaleId","LockState","Owner","StorageQuota","StorageQuotaWarningLevel","ResourceQuota","ResourceQuotaWarningLevel","Template","Title","AllowSelfServiceUpgrade","DenyAddAndCustomizePages","PWAEnabled","SharingCapability","SiteDefinedSharingCapability","SandboxedCodeActivationCapability","DisableCompanyWideSharingLinks","DisableAppViews","DisableFlows","StorageQuotaType","RestrictedToGeo","ShowPeoplePickerSuggestionsForGuestUsers","SharingDomainRestrictionMode","SharingAllowedDomainList","SharingBlockedDomainList","ConditionalAccessPolicy","AllowDownloadingNonWebViewableFiles","LimitedAccessFileType","AllowEditing","SensitivityLabel","CommentsOnSitePagesDisabled","SocialBarOnSitePagesDisabled","DefaultSharingLinkType","DefaultLinkPermission","AnonymousLinkExpirationInDays","OverrideTenantAnonymousLinkExpirationPolicy","ExternalUserExpirationInDays","OverrideTenantExternalUserExpirationPolicy"
"7/12/2020 6:22:28 PM","Active","0","0","1",,"0","15",,"00000000-0000-0000-0000-000000000000","False","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","https://yavatmal3.sharepoint.com/sites/DLTest","1033","Unlock","","26214400","25574400","300","200","GROUP#0","deol","True","Enabled","Disabled","ExternalUserSharingOnly","ExternalUserSharingOnly","Unknown","Unknown","Unknown","Unknown",,"Unknown","False","None",,,"AllowFullAccess","False","OfficeOnlineFilesOnly","False",,"False","False","None","None","0","False","0","False"
"7/12/2020 6:22:30 PM","Active","0","0","1",,"0","15",,"00000000-0000-0000-0000-000000000000","False","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","https://yavatmal3.sharepoint.com/sites/test65","1033","Unlock","","26214400","25574400","300","200","GROUP#0","test65","True","Enabled","Disabled","ExternalUserSharingOnly","ExternalUserSharingOnly","Unknown","Unknown","Unknown","Unknown",,"Unknown","False","None",,,"AllowFullAccess","False","OfficeOnlineFilesOnly","False",,"False","False","None","None","0","False","0","False"
"7/12/2020 6:22:29 PM","Active","0","0","16",,"0","15",,"00000000-0000-0000-0000-000000000000","False","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","https://yavatmal3.sharepoint.com/sites/RND","1033","Unlock","aditya@yavatmal3.onmicrosoft.com","26214400","25574400","300","0","STS#0","RNd","True","Disabled","Disabled","Disabled","Disabled","Unknown","Unknown","Unknown","Unknown",,"Unknown","False","None",,,"AllowFullAccess","False","OfficeOnlineFilesOnly","False",,"False","False","None","None","0","False","0","False"
"7/12/2020 6:22:30 PM","Active","0","0","1",,"0","15",,"00000000-0000-0000-0000-000000000000","False","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","https://yavatmal3-my.sharepoint.com/","1033","Unlock","","26214400","25574400","0","0","SPSMSITEHOST#0","","True","Disabled","Disabled","ExternalUserAndGuestSharing","ExternalUserAndGuestSharing","Unknown","Unknown","Unknown","Unknown",,"Unknown","False","None",,,"AllowFullAccess","False","OfficeOnlineFilesOnly","False",,"False","False","None","None","0","False","0","False"
"7/12/2020 6:22:28 PM","Active","0","0","1",,"0","15",,"00000000-0000-0000-0000-000000000000","False","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","https://yavatmal3.sharepoint.com/sites/MetalogixCommunity","1033","Unlock","aditya@yavatmal3.onmicrosoft.com","26214400","25574400","300","200","SITEPAGEPUBLISHING#0","MetalogixCommunity","True","Enabled","Disabled","Disabled","Disabled","Unknown","Unknown","Unknown","Unknown",,"Unknown","False","None",,,"AllowFullAccess","False","OfficeOnlineFilesOnly","False",,"False","False","None","None","0","False","0","False"
"7/12/2020 6:22:27 PM","Active","0","0","1",,"0","15",,"00000000-0000-0000-0000-000000000000","False","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","https://yavatmal3.sharepoint.com/portals/Community","1033","Unlock","","26214400","25574400","300","200","POINTPUBLISHINGTOPIC#0","Community","True","Enabled","Disabled","Disabled","Disabled","Unknown","Unknown","Unknown","Unknown",,"Unknown","False","None",,,"AllowFullAccess","False","OfficeOnlineFilesOnly","False",,"False","False","None","None","0","False","0","False"
"7/12/2020 6:22:28 PM","Active","0","0","1",,"0","15",,"00000000-0000-0000-0000-000000000000","False","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","https://yavatmal3.sharepoint.com/sites/group","1033","Unlock","","26214400","25574400","300","200","GROUP#0","group","True","Enabled","Disabled","ExternalUserSharingOnly","ExternalUserSharingOnly","Unknown","Unknown","Unknown","Unknown",,"Unknown","False","None",,,"AllowFullAccess","False","OfficeOnlineFilesOnly","False",,"False","False","None","None","0","False","0","False"
"7/12/2020 6:22:28 PM","Active","0","0","1",,"0","15",,"00000000-0000-0000-0000-000000000000","False","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","https://yavatmal3.sharepoint.com/sites/CommunicationRoot","1033","Unlock","aditya@yavatmal3.onmicrosoft.com","26214400","25574400","300","200","SITEPAGEPUBLISHING#0","CommunicationRoot","True","Enabled","Disabled","Disabled","Disabled","Unknown","Unknown","Unknown","Unknown",,"Unknown","False","None",,,"AllowFullAccess","False","OfficeOnlineFilesOnly","False",,"False","False","None","None","0","False","0","False"
"7/12/2020 6:22:28 PM","Active","0","0","1",,"0","15",,"00000000-0000-0000-0000-000000000000","False","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","https://yavatmal3.sharepoint.com/sites/No0365Group","1033","Unlock","kajal@yavatmal3.onmicrosoft.com","26214400","25574400","0","0","STS#3","No0365Group","True","Disabled","Disabled","Disabled","Disabled","Unknown","Unknown","Unknown","Unknown",,"Unknown","False","None",,,"AllowFullAccess","False","OfficeOnlineFilesOnly","False",,"False","False","None","None","0","False","0","False"
"7/12/2020 6:22:30 PM","Active","0","0","1",,"0","15",,"00000000-0000-0000-0000-000000000000","False","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","https://yavatmal3.sharepoint.com/sites/test545","1033","Unlock","","26214400","25574400","300","200","GROUP#0","test545","True","Enabled","Disabled","ExternalUserSharingOnly","ExternalUserSharingOnly","Unknown","Unknown","Unknown","Unknown",,"Unknown","False","None",,,"AllowFullAccess","False","OfficeOnlineFilesOnly","False",,"False","False","None","None","0","False","0","False"
